Device,Prefix,Instant,Payload,Company
3001,RAX12,2018-12-10T10:37:06-02:00,">RAX12,101218093702,-23.70046,-046.53757<",acme
3164,RUS00,2018-12-10T10:54:32-02:00,">RUS00,101218095431,-23.70044,-046.53706<",acme
3164,RAX12,2018-12-10T10:54:20-02:00,">RAX12,101218095417,-23.70037,-046.53761<",acme
3166,RUS00,2018-12-10T10:19:03-02:00,">RUS00,101218091901,-23.70045,-046.53705<",acme
3170,RAX12,2018-12-10T10:17:50-02:00,">RAX12,101218091734,-23.70039,-046.53759<",acme
3182,RUS00,2018-12-10T10:55:40-02:00,">RUS00,101218095501,-23.70041,-046.53713<",acme
3203,RUS00,2018-12-10T10:43:26-02:00,">RUS00,101218094325,-23.70035,-046.53738<",acme
3203,RUS00,2018-12-10T10:30:44-02:00,">RUS00,101218093031,-23.70038,-046.53760<",acme
3305,RUS00,2018-12-10T09:58:50-02:00,">RUS00,101218085829,-23.70032,-046.53734<",acme
3305,RUS00,2018-12-10T09:58:50-02:00,">RUS00,101218085829,-23.70032,-046.53734<",acme
3305,RUS00,2018-12-10T09:58:00-02:00,">RUS00,101218085759,-23.70038,-046.53697<",acme
